,Section_Name,Content,Section_Number
0,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"    Page: 1 Protocol Number: CA204116 IND Number: N/A Ex-US Non-IND EUDRACT Number N/A Date: 26-Nov-2014  Protocol CA204116: A Phase 2, Randomized, Open Label Trial of  Lenalidomide/dexamethasone With or Without Elotuzumab in Subjects with Previously  Untreated Multiple Myeloma in Japan Amendment Number 01 Site Number: All Study Director  Medical Monitor Yukiko Asaeda Bristol-Myers Squibb Research and Development This protocol amendment contains information that is confidential and proprietary to  Bristol-Myers Squibb (BMS).",
1,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,This amendment must be maintained with the referenced protocol.,
2,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"   Amendment Rationale: The purpose of this amendment is to change and clarify the handling of Investigational Products,  the dosage of premedication prior to elotuzumab infusion and the process of laboratory  assessments. This amendment includes three changes: 1) Lenalidomide has to be stored at  15 - 25 C because it is provided as Investigational Product, 2) The dosage of Acetaminophen as  a premedication prior to elotuzumab infusion is allowed from 300 mg to 1,000 mg according to  the package insert in Japan, and 3) The cytgenetic assessments will be performed at the local  central laboratory designated by the sponsor because they require fresh bone marrow samples,  and also these results will be collected using the eCRF.",
3,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"Changes to the Protocol: 1. Section 1.4.4.1, Rationale for Treating with Ld Until progression: Corrected the wording of  the targeted population. 2. Section 4, STUDY DRUG, Table 4-1, Study Drugs for CA204116 Treatment Period,  Elotuzumab Powder for Solution for Infusion: Removed a part of mention of Storage  Conditions. 3. Section 4, STUDY DRUG, Table 4-1, Study Drugs for CA204116 Treatment Period,  Lenalidomide (Revlimid )capsule: Removed a mention of Appearance and changed a  mention of Storage Conditions to 15 - 25 C. 4. Section 4.5.1, Study Drug Administration, paragraph of Elotuzumab: Changed the dosage of  Acetaminophen to 300 - 1,000 mg po. 5. Section 4.5.1.1, Premedication Regimen in Subjects Without a Prior Infusion Reaction:  Changed the dosage of Acetaminophen to 300 - 1,000 mg po. 6. Section 5.1, Flow Chart/Time and Events Schedule, Table 5.1-1, Screening Procedural  Outline (CA204116), Cytogenetic analysis and FISH: Changed the laboratory to the local  central laboratory. 7. Section 5.4.3, Echocardiogram or MUGA scan and Electrocardiogram: Corrected the  mentions of the timing of Screening assessment. 8. Section 5.4.4, Laboratory Assessments for Safety, Table 5.4.4-1, Safety Laboratory  Assessments (may be drawn up to three days prior to visit): Corrected the mentions of the  timing of Screening assessment. 9. Section 5.5.2, Laboratory Assessments for Myeloma, 3) Bone marrow aspiration/biopsy:  Corrected the mentions of the timing of Screening assessment, and changed the laboratory  for the genetic assessments (Karyotype and FISH) to the local central laboratory. 10. Section 5.5.3.1, Skeletal Survey: Corrected the mentions of the timing of Screening  assessment. 11. Section 5.7.2, Cytogenetic Assessments: Changed the laboratory for the genetic assessments  (Karyotype and FISH) to the local central laboratory. 12. APPENDIX 3, PREPARATION AND ADMINISTRATION OF ELOTUZUMAB, Dose  Preparation Instructions: Corrected the required amount of elotuzumab at the time of  20 mg/kg infusion.",
4,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"   Please maintain a copy of this amendment with your protocol. Please provide a copy to  your Investigational Review Board / Ethics Committee, unless agreed otherwise with BMS.",
5,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"  Page: 1 Protocol Number: CA204116 IND Number: N/A Ex US Non-IND EUDRACT Number N/A Date: 26-Feb-2016  Protocol CA204116: A Phase 2, Randomized, Open Label Trial of  Lenalidomide/dexamethasone With or Without Elotuzumab in Subjects with Previously  Untreated Multiple Myeloma in Japan Amendment Number 02 Site Number:All Study Director  Medical Monitor Hisashi Taniai Bristol-Myers Squibb Research and Development This protocol amendment contains information that is confidential and proprietary to  Bristol-Myers Squibb (BMS).",
6,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,This amendment must be maintained with the referenced protocol.,
7,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"   Amendment Rationale: The main purpose of this amendment is to change the following points: Update the contraceptive methods based on the guidance by the European Union Clinical  Trials Facilitation Groups Recommendations related to contraception and pregnancy testing  in clinical trials.  Change and clarify requirements for 24-hour urine sampling to ensure the efficacy  assessment for subjects without measurable urine M protein at baseline.  Expand the PK/ADA sampling collection for subjects who continue beyond Cycle 19, when  elotuzumab dosing transitions from bi-weekly (10 mg/kg) to monthly (20 mg/kg).  Appendix 3, Preparation and administration of elotuzumab, change from a fixed volume of  diluent (230 or 340 mL for 10 mg/kg or 20 mg/kg, respectively) to a range of 100-500 mL.  This will allow additional flexibility to facilitate faster infusion time, provided the patient can  tolerate a higher infusion rate.",
8,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"Changes to the Protocol: 1. Section 1.1.1, Unmet Medical Needs in Multiple Myeloma, Last Paragraph: Delete a  sentence related to initial therapy for MM in Japan. 2. Section 1.1.2.2, Combination of Elotuzumab with Lenalidomide/dexamethasone, First  Paragraph: Update a sentence related to the indication of Lenalidomide/dexamethasone. 3. Section 1.5, Overall Risk/Benefit Assessment, 2nd Paragraph: Delete a sentence related to  initial therapy for MM in Japan. 4. Section 3.3.1, Inclusion Criteria, 3. Age and Reproductive Status, HIGHLY/LESS  EFFECTIVE METHODS OF CONTRACEPTION: Update the contraceptive methods. 5. Section 3.3.2, Exclusion Criteria, 1a): Correct a part of mention. 6. Section 3.6, Post Study Drug Study Follow up, 2nd Paragraph: Correct first sentence. 7. Section 4.5.1, Study Drug Administration, Table 4.5.1-1, Treatment Schedule, Table Note:  Clarify the dosing window. 8. Section 4.5.2.2, Grade 2 Infusion Reaction, 2nd and last paragraphs: Change the  adjustment of elotuzumab infusion rate for subjects with Grade 2 or higher infusion reactions. 9. Section 5.1, Flow Chart/Time and Events Schedule, Table 5.1-2, Short-Term Procedural  Outline Cycles 1&2, Table 5.1-3, Long-term Procedural Outline Cycles 3 and Beyond,  Myeloma Urine and Serum Lab Tests, Protocol Section 5.5.2, Laboratory Assessments for  Myeloma: Change and clarify requirements for subjects without measurable urine M protein  at baseline. 10. Section 5.4.4, Laboratory Assessments for Safety, Table 5.4.4-1, Safety Laboratory  Assessments: Add Creatinine Clearance. 11. Section 5.5.4, Definitions of Response Based on IMWG, Partial response (PR), Criteria:  Correct last sentence.",
9,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"   12. Section 5.6, Pharmacokinetic Assessments,  a) First Paragraph: Delete the amounts of PK assessment samples. b) Table 5.6-1, PK and ADA Sampling Schedule: Add sampling timepoints after Cycle 18,  and add clarification regarding subjects who discontinue or interrupt elotuzumab only. 13. Section 8.3.3.2, Progression-Free Survival: Add an ITT definition for PFS. 14. Section 8.4.2.3, Exploratory Efficacy Analysis: Clarify the PFS analyses. 15. Section 10, GLOSSARY OF TERMS, Complete Abstinence: Update the definition. 16. APPENDIX 3, PREPARATION AND ADMINISTRATION OF ELOTUZUMAB: Clarify  that diluent volume may be 100-500 mL of normal saline and may be adjusted to not exceed  5 mL/kg of patient weight at any administered dose of elotuzumab and that allowable  concentration of elotuzumab must be maintained from 1.0 mg/mL to 6.0 mg/mL, and update  Administration Instructions for 10 mg/kg and 20 mg/kg dose, respectively.",
